held_out,model,curvature_abs,gradient,ceiling_mps,dist_to_next_apex_m,dist_from_last_apex_m,straight_length_m,dist_to_straight_end_m,next_apex_speed_mps,lap_fraction_remaining,ceiling_ahead_50m,ceiling_ahead_100m,ceiling_ahead_200m,ceiling_ahead_400m,ceiling_delta_50m,ceiling_delta_100m,ceiling_delta_200m,ceiling_delta_400m,speed_mps,soc_fraction,taper_headroom_kph,taper_fraction,speed_vs_ceiling,speed_vs_next_apex
austin,gbm,12240,11971,7416,8832,11077,1258,2879,5423,10452,6779,6215,5349,5672,7431,6664,6644,6390,7286,31575,6286,1979,12015,11960
austin,gbm_reg,1217,1571,919,1400,1911,445,518,1295,1804,944,907,878,820,905,858,861,764,1229,1089,734,285,1540,1906
baku,gbm,12163,11810,7517,8827,10811,1255,2961,5501,10315,7119,6261,5101,5624,7531,6795,6908,6687,7963,31513,5802,1653,12228,11398
baku,gbm_reg,1319,1579,882,1382,1840,447,486,1227,1795,939,897,913,841,933,884,840,753,1438,1186,626,276,1527,1790
barcelona,gbm,12250,12007,7453,8710,11032,1251,2707,5876,10705,6767,6185,5230,5426,7437,6586,6631,6743,7745,30456,5599,1720,11991,11408
barcelona,gbm_reg,1266,1581,922,1477,1947,455,430,1367,1794,940,969,804,810,923,904,739,717,1385,1134,549,346,1534,1807
budapest,gbm,12423,12272,7211,8779,10982,1293,2895,5457,10616,6815,6344,5004,5258,7437,6724,6701,6669,7119,30986,6617,1780,12084,11970
budapest,gbm_reg,1246,1658,839,1425,1916,473,467,1381,1795,917,881,867,831,910,875,793,744,1220,1156,768,284,1550,1804
las-vegas,gbm,12484,12156,7674,8901,11274,1300,2651,5280,10432,7078,6203,5223,5880,7673,6537,6580,6452,7380,31015,6619,1549,11967,12026
las-vegas,gbm_reg,1272,1586,915,1466,1948,401,478,1271,1753,992,889,840,890,938,915,802,768,1305,1045,688,284,1479,1875
lusail,gbm,12269,12054,7753,8772,11184,1288,2703,5613,10641,6947,6133,5220,5585,7560,6940,6652,6669,7768,31358,5988,1767,11738,11567
lusail,gbm_reg,1318,1632,904,1391,1994,474,489,1308,1656,961,937,921,891,842,828,763,720,1182,1135,785,312,1504,1853
marina-bay,gbm,12386,12087,7603,8974,11360,1183,2891,5219,10529,7203,6214,5269,5620,7520,6704,6608,6753,7158,30888,6087,1819,12092,11628
marina-bay,gbm_reg,1262,1540,934,1472,1968,467,508,1255,1653,1000,947,816,889,938,911,780,670,1234,1116,843,278,1479,1840
melbourne,gbm,12175,12107,7534,8756,11282,1238,2914,5423,10223,7099,6145,4862,5618,7569,6685,6721,6607,7381,31400,6195,1623,11973,11535
melbourne,gbm_reg,1260,1656,867,1384,1905,498,499,1316,1740,907,861,804,883,916,915,855,710,1285,1147,786,279,1521,1806
mexico-city,gbm,12331,12127,7224,8859,11158,1303,2786,5428,10633,7059,6451,5309,5696,7766,6665,6844,6747,7083,31128,6262,1638,12051,11785
mexico-city,gbm_reg,1289,1666,940,1387,1945,462,494,1218,1749,940,885,895,848,934,913,801,705,1266,1106,785,271,1513,1788
miami-gardens,gbm,12188,12276,7520,8791,11110,1379,2942,5373,10379,6855,5887,4965,5510,7597,6644,6863,6845,7290,31568,6385,1720,11966,11719
miami-gardens,gbm_reg,1273,1552,916,1424,1996,453,473,1320,1916,893,912,860,834,901,882,789,777,1318,1085,685,262,1486,1793
monte-carlo,gbm,12471,12176,7248,8876,11221,1246,2954,5511,10395,6983,6384,5101,5435,7474,6622,6770,6695,7360,31554,6253,1917,11404,11693
monte-carlo,gbm_reg,1302,1630,859,1441,1937,449,477,1291,1797,912,888,834,817,914,908,820,688,1326,1115,778,284,1486,1847
montreal,gbm,12179,12186,7470,8769,11123,1258,2746,5472,10492,6925,6134,5023,5479,7718,6946,7092,6843,7180,31332,6464,1639,11976,11810
montreal,gbm_reg,1292,1633,888,1394,1934,431,477,1352,1861,933,912,822,826,900,860,807,713,1290,1144,715,306,1514,1796
monza,gbm,12462,12004,7499,8455,11399,1142,2920,5302,10385,7052,6223,5253,5476,7755,6661,6978,6789,7561,31702,6196,1726,11764,11319
